,26-Mar,Thu 1,25HR-JA, ,"High Math Lc
aud 327",High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, ,,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,27-Mar,Fri 1,25HR-JA, ,"AlgorithmsAndDS Pr1
online", , , , , ,,,,,
,,2,25HR-JS, ,, ,, , , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, , , , ,,,,,
,28-Mar,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,29-Mar,Sun,, , , , , , , ,,,,,
5 Week,30-Mar,Mon 1,25HR-JA, ,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,OOP Java Pr aud 325, ,"AlgorithmsAndDS Pr1
online",,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, ,,,,,,
,,3,25HR-CS, ,,, , ,AlgorithmsAndDS Pr2 online, ,,,,,
,31-Mar,Tue 1,25HR-JA,"Software Testing
(online)", , , ,"English AT aud 340
English OV1 aud 341", , ,,,,,
,,2,25HR-JS,, , ,,, , ,,,,,
,,3,25HR-CS,, , , ,, , ,,,,,
,1-Apr,Wed 1,25HR-JA,OOP Java Lc online,English OV1 aud 341,"English AT aud 340
English OV2 aud 341", ,OOP Java Pr aud 325, , ,,,,,
,,2,25HR-JS, ,,,, , ,Web Dev JS Lc (online),,,,,
,,3,25HR-CS, ,,, , , , ,,,,,
,2-Apr,Thu 1,25HR-JA, ,,High Math Pr1 aud 345, , , , ,,,,,
,,2,25HR-JS, ,,,,Web Dev JS Pr aud 330, , ,,,,,
,,3,25HR-CS, , ,OOP CS Pr aud 330, ,High Math Pr2 aud 345, , ,,,,,
,3-Apr,Fri 1,25HR-JA,OOP Java Lc online,"AlgorithmsAndDS Pr1
online", , ,English OV2 aud 341, , ,,,,,
,,2,25HR-JS, ,, ,,, , ,,,,,
,,3,25HR-CS, ,OOP CS Lc (online),AlgorithmsAndDS Pr2 online, ,, , ,,,,,
,4-Apr,Sat 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , ,, , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,5-Apr,Sun,, , , , , , , ,,,,,
6 Week,6-Apr,Mon 1,25HR-JA, , , , , , , ,,,,,
,,2,25HR-JS, , , , , , , ,,,,,
,,3,25HR-CS, , , , , , , ,,,,,
,7-Apr,Tue 1,25HR-JA,"Software Testing
(online)", , , ,"English AT aud 340
English OV1 aud 341", , ,,,,,
